pid,block,trial,start,end,edge_count,cyclomatic,stim_time,edges,n_paths,response,rt
995,practice,1,"(3, 1)","(0, 2)",18,3,3,"[((1, 1), (2, 1)), ((2, 1), (1, 1)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((1, 0), (1, 1)), ((1, 1), (1, 0))]",6,,
995,practice,2,"(0, 1)","(3, 2)",18,3,3,"[((0, 0), (0, 1)), ((0, 1), (0, 0)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1))]",6,4,4.0142
995,practice,3,"(0, 2)","(3, 1)",18,3,3,"[((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1))]",6,4,2.7454
995,practice,4,"(0, 1)","(3, 2)",17,2,3,"[((2, 0), (2, 1)), ((2, 1), (2, 0)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0))]",3,4,2.1485
995,practice,5,"(3, 1)","(0, 2)",17,2,3,"[((1, 2), (1, 3)), ((1, 3), (1, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((2, 1), (3, 1)), ((3, 1), (2, 1))]",3,4,1.1589
995,practice,6,"(1, 3)","(2, 0)",16,1,3,"[((3, 0), (3, 1)), ((3, 1), (3, 0)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 3), (1, 3)), ((1, 3), (0, 3))]",2,2,1.1305
995,practice,7,"(1, 0)","(2, 3)",17,2,3,"[((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((0, 1), (1, 1)), ((1, 1), (0, 1))]",5,3,2.58
995,practice,8,"(2, 3)","(1, 0)",17,2,3,"[((0, 1), (0, 2)), ((0, 2), (0, 1)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3))]",3,4,0.9149
995,practice,9,"(0, 1)","(3, 2)",17,2,3,"[((1, 0), (2, 0)), ((2, 0), (1, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1))]",4,3,1.3797
995,practice,10,"(0, 2)","(3, 1)",15,0,3,"[((1, 1), (2, 1)), ((2, 1), (1, 1)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((3, 0), (3, 1)), ((3, 1), (3, 0))]",1,1,0.4484
