id,block,trial,n_edges,n_loops,duration,edges,n_paths,response,rt,start_node,end_node,correct
01,1,1,15,0,5,"[((0, 2), (0, 3)), ((0, 3), (0, 2)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((1, 1), (2, 1)), ((2, 1), (1, 1))]",1,1,0.8816,3,14,1
01,1,2,16,1,5,"[((1, 0), (2, 0)), ((2, 0), (1, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0))]",2,2,0.7468,8,9,1
01,1,3,18,3,5,"[((0, 1), (1, 1)), ((1, 1), (0, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((1, 1), (1, 2)), ((1, 2), (1, 1))]",6,5,1.8317,8,9,0
01,1,4,17,2,5,"[((3, 2), (3, 3)), ((3, 3), (3, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((0, 1), (0, 2)), ((0, 2), (0, 1))]",3,3,3.4132,3,14,1
01,1,5,15,0,5,"[((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3))]",1,1,0.3648,2,15,1
01,1,6,16,1,5,"[((1, 3), (2, 3)), ((2, 3), (1, 3)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((2, 3), (3, 3)), ((3, 3), (2, 3))]",2,2,0.4298,5,12,1
01,1,7,17,2,5,"[((2, 2), (2, 3)), ((2, 3), (2, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((2, 2), (3, 2)), ((3, 2), (2, 2)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0))]",3,3,0.4316,3,14,1
01,1,8,17,2,5,"[((3, 2), (3, 3)), ((3, 3), (3, 2)), ((1, 1), (2, 1)), ((2, 1), (1, 1)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((2, 3), (3, 3)), ((3, 3), (2, 3)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((0, 1), (1, 1)), ((1, 1), (0, 1))]",4,4,3.2799,14,3,1
01,1,9,17,2,5,"[((0, 1), (0, 2)), ((0, 2), (0, 1)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((2, 0), (3, 0)), ((3, 0), (2, 0)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((0, 2), (1, 2)), ((1, 2), (0, 2)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((1, 1), (1, 2)), ((1, 2), (1, 1)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((2, 1), (2, 2)), ((2, 2), (2, 1)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((0, 2), (0, 3)), ((0, 3), (0, 2)), ((2, 0), (2, 1)), ((2, 1), (2, 0)), ((0, 0), (1, 0)), ((1, 0), (0, 0))]",3,3,0.5151,14,3,1
01,1,10,17,2,5,"[((0, 2), (1, 2)), ((1, 2), (0, 2)), ((0, 1), (1, 1)), ((1, 1), (0, 1)), ((1, 0), (1, 1)), ((1, 1), (1, 0)), ((1, 2), (1, 3)), ((1, 3), (1, 2)), ((0, 3), (1, 3)), ((1, 3), (0, 3)), ((0, 0), (0, 1)), ((0, 1), (0, 0)), ((3, 0), (3, 1)), ((3, 1), (3, 0)), ((1, 0), (2, 0)), ((2, 0), (1, 0)), ((1, 2), (2, 2)), ((2, 2), (1, 2)), ((1, 3), (2, 3)), ((2, 3), (1, 3)), ((0, 1), (0, 2)), ((0, 2), (0, 1)), ((2, 2), (2, 3)), ((2, 3), (2, 2)), ((3, 2), (3, 3)), ((3, 3), (3, 2)), ((2, 1), (3, 1)), ((3, 1), (2, 1)), ((0, 0), (1, 0)), ((1, 0), (0, 0)), ((3, 1), (3, 2)), ((3, 2), (3, 1)), ((2, 0), (3, 0)), ((3, 0), (2, 0))]",2,2,0.3293,14,3,1
